18
Alice Smith, 0987654321, alice@example.com
Bob Johnson, 1112223333, bob@company.com
Carol White, 4445556666, carol@company.com
David Brown, 7778889999, david@example.com
Eve David, 6665554444, eve@example.com
Frank Miller, 3334445555, frank@example.com
Grace Wilson, 2223334444, grace@example.com
Hannah Clark, 5556667777, hannah@example.com
krishna, 1234567895, krishna@gmail.com
kittu, 1234554321, kittu@gmail.com
lakshman, 4567891232, lakshman@gmail.com
batman, 1234568520, batman@gmail.com
narayan, 7418529633, narayan@gmail.com
shankaran, 9638527410, shankaran@gmail.com
vamsikrishna, 7418529638, vamsi@gmail.com
rajkumar, 9632159874, rajkumar@gmail.com
vamsi, 7898521329, vamsikrishna@gmail.com
sruthi, 7788996633, sruti@gmail.com
